,joburl,skill,designation,orgnization,location,moredesc,salary,recruitername,recruiterdetails,jobpostingdate,start,end,Match Percentage(%)
6,https://www.naukri.com/job-listings-Devops-Engineer-consultant-Aws-docker-Techstar-Software-Development-India-Pvt-Ltd-Hyderabad-3-to-6-years-050919008337?src=jobsearchDesk&sid=15678686665085&xp=7&px=1,"Jenkins, Java, Docker, Cloud Foundry, Continuous Integration, Ansible, AWS,...",Devops Engineer/consultant - Aws/docker,Techstar Software Development India Pvt. Ltd.,Hyderabad,"  Jenkins, Java, Docker, Cloud Foundry, Continuous Integration, Ansible, AWS,... ",  Not disclosed  ,  HR  ," Posted  by     HR    , 2 days ago ",2 days ago,3,6,35
26,https://www.naukri.com/job-listings-Machine-Learning-Engineer-Computer-Vision-tensorflow-deep-Learning-Volantis-Technologies-Hyderabad-3-to-6-years-060919908960?src=jobsearchDesk&sid=15678686665085&xp=27&px=1,"Tensorflow, Open Source, Design Patterns, Github, Machine Learning...",Machine Learning Engineer - Computer Vision/tensorflow/deep Learning,Volantis Technologies,Hyderabad,"  Tensorflow, Open Source, Design Patterns, Github, Machine Learning... ",  Not disclosed  ,  HR  ," Posted  by     HR    , 1 day ago ",1 day ago,3,6,34
22,https://www.naukri.com/job-listings-Backend-Developer-BeyondTech-IT-Solutions-Hyderabad-2-to-4-years-050919004873?src=jobsearchDesk&sid=15678686665085&xp=23&px=1,"C++, C, Javascript, Programming, Go, PHP, Languages, Ruby, Python",Backend Developer,BeyondTech IT Solutions,Hyderabad,"  C++, C, Javascript, Programming, Go, PHP, Languages, Ruby, Python "," INR 2,50,000 - 4,50,000 PA.   ",  Mohammed Furkhan  ," Posted  by     Mohammed Furkhan    , 2 days ago ",2 days ago,2,4,34
21,https://www.naukri.com/job-listings-Python-Developer-MINFY-TECHNOLOGIES-PRIVATE-LIMITED-Hyderabad-Kondapur-4-to-5-years-060919009553?src=jobsearchDesk&sid=15678686665085&xp=22&px=1,"Pyramid, GIT, Linux, Django, Postgresql, Continuous Integration, MySQL...",Python Developer,"MINFY TECHNOLOGIES PRIVATE LIMITED,",Hyderabad(Kondapur),"  Pyramid, GIT, Linux, Django, Postgresql, Continuous Integration, MySQL... ",  Not disclosed  ,  Rajendra  ," Posted  by     Rajendra    , 1 day ago ",1 day ago,4,5,34
45,https://www.naukri.com/job-listings-Embedded-Developer-votarytech-core-BSP-Linux-Kernel-ROTS-Votary-Softech-Solutions-Pvt-Ltd-Bengaluru-Hyderabad-2-to-7-years-200819005970?src=jobsearchDesk&sid=15678686665085&xp=46&px=1,"linux device drivers, board support package, board bringup, python, rtos...",Embedded Developer_votarytech_core BSP/ Linux Kernel/ ROTS,Votary Softech Solutions Pvt. Ltd.,"Bengaluru, Hyderabad","  linux device drivers, board support package, board bringup, python, rtos... ",  Not disclosed  ,  Not Provided  ," Posted  by     Not Provided    , 1 day ago ",1 day ago,2,7,33
23,https://www.naukri.com/job-listings-Azure-Devops-Consultant-Kastech-Software-Solutions-Hyderabad-8-to-13-years-050919900512?src=jobsearchDesk&sid=15678686665085&xp=24&px=1,"PowerShell, DevOps design, Java, .Net, Node.js, Azure DevOps, Python",Azure Devops Consultant,Kastech Software Solutions,Hyderabad,"  PowerShell, DevOps design, Java, .Net, Node.js, Azure DevOps, Python ",  Not disclosed  ,  HR  ," Posted  by     HR    , 2 days ago ",2 days ago,8,13,33
16,https://www.naukri.com/job-listings-Python-and-Django-Developer-Vivenns-Global-Private-Limited-Hyderabad-3-to-5-years-130619901335?src=jobsearchDesk&sid=15678686665085&xp=17&px=1,"Rabbitmq, Product Development, Interpersonal Communication, NoSQL...",Python and Django Developer,Vivenns Global Private Limited,Hyderabad,"  Rabbitmq, Product Development, Interpersonal Communication, NoSQL... ",  Not disclosed  ,  HR  ," Posted  by     HR    , 2 days ago ",2 days ago,3,5,33
25,https://www.naukri.com/job-listings-Identity-Access-Management-Engineer-L3-Forgerock-Best-Infosystems-Ltd-Bengaluru-Hyderabad-Chennai-5-to-10-years-050919900885?src=jobsearchDesk&sid=15678686665085&xp=26&px=1,"Java, OpenAM & OpenDJ, iAM, ForgeRock, PostgreSQL, Perl, DB...",Identity & Access Management Engineer - L3 - Forgerock,Best Infosystems Ltd,"Bengaluru, Hyderabad, Chennai","  Java, OpenAM & OpenDJ, iAM, ForgeRock, PostgreSQL, Perl, DB... ",  Not disclosed  ,  HR  ," Posted  by     HR    , 2 days ago ",2 days ago,5,10,32
19,https://www.naukri.com/job-listings-Python-Developer-UNIFY-TECHNOLOGIES-PVT-LTD-Hyderabad-3-to-8-years-050919011175?src=jobsearchDesk&sid=15678686665085&xp=20&px=1,"python, software development, Python2, linux, Python3, Python Developer...",Python Developer,UNIFY TECHNOLOGIES PVT LTD,Hyderabad,"  python, software development, Python2, linux, Python3, Python Developer... ",  Not disclosed  ,  Mahendar  ," Posted  by     Mahendar    , 2 days ago ",2 days ago,3,8,31
14,https://www.naukri.com/job-listings-Machine-Learning-Engineer-Nlp-python-Anram-Solutions-India-Pvt-Ltd-Hyderabad-1-to-3-years-050919906917?src=jobsearchDesk&sid=15678686665085&xp=15&px=1,"NLP, OOPS, Machine Learning, PhD, Python",Machine Learning Engineer - Nlp/python,Anram Solutions India Pvt Ltd,Hyderabad,"  NLP, OOPS, Machine Learning, PhD, Python ",  Not disclosed  ,  HR  ," Posted  by     HR    , 1 day ago ",1 day ago,1,3,30
13,https://www.naukri.com/job-listings-I-Opening-build-integration-Engineer-votarytech-hyderabad-Votary-Softech-Solutions-Pvt-Ltd-Hyderabad-1-to-4-years-060919000807?src=jobsearchDesk&sid=15678686665085&xp=14&px=1,"build and release & integration, Embedded C, Build & Integration, GIT...",Job I Opening_build&integration Engineer_votarytech_hyderabad,Votary Softech Solutions Pvt. Ltd.,Hyderabad,"  build and release & integration, Embedded C, Build & Integration, GIT... ",  Not disclosed  ,  Geetha  ," Posted  by     Geetha    , 1 day ago ",1 day ago,1,4,30
50,https://www.naukri.com/job-listings-Embedded-Engineer-C-c-Programming-Resource-Weaver-Hyderabad-2-to-4-years-030919909156?src=jobsearchDesk&sid=15678686665085&xp=51&px=1,"Embedded System, Embedded C, C++, C, Hardware Design, Embedded Protocols...",Embedded Engineer - C/c++ Programming,Resource Weaver,Hyderabad,"  Embedded System, Embedded C, C++, C, Hardware Design, Embedded Protocols... ",  Not disclosed  ,  HR  ," Posted  by     HR    , 2 days ago ",2 days ago,2,4,30
34,https://www.naukri.com/job-listings-Senior-Analyst-Java-j2ee-python-Okda-Solutions-Chennai-Hyderabad-3-to-5-years-050919907343?src=jobsearchDesk&sid=15678686665085&xp=35&px=1,"CI / CD, Java, Design Patterns, Artificial Intelligence...",Senior Analyst - Java/j2ee/python,Okda Solutions,"Chennai, Hyderabad","  CI / CD, Java, Design Patterns, Artificial Intelligence... ",  Not disclosed  ,  HR  ," Posted  by     HR    , 1 day ago ",1 day ago,3,5,30
8,https://www.naukri.com/job-listings-Software-Engineer-React-js-LIOREL-SOFTWARE-SOLUTIONS-PVT-LTD-Hyderabad-4-to-7-years-060919005600?src=jobsearchDesk&sid=15678686665085&xp=9&px=1,"Java, jQuery, Linux, Ruby Rails, Software Engineer, React.JS Engineer...",Software Engineer React.js,LIOREL SOFTWARE SOLUTIONS PVT. LTD,Hyderabad,"  Java, jQuery, Linux, Ruby Rails, Software Engineer, React.JS Engineer... "," INR 8,00,000 - 10,00,000 PA.   ", , Posted     1 day ago ,1 day ago,4,7,29
28,https://www.naukri.com/job-listings-L2-l3-Embeded-Developer-For-Product-MNC-In-Hyderabad-Cambio-Consulting-India-Pvt-Ltd-Hyderabad-8-to-12-years-070919001343?src=jobsearchDesk&sid=15678686665085&xp=29&px=1,"VXWorks, TCP, C++, C, IGMP, L2, L3, Thread Rtos, IP, BGP, VLAN, MPLS, EIGRP...",L2/l3 Embeded Developer For Product MNC In Hyderabad,Cambio Consulting India Pvt Ltd,Hyderabad,"  VXWorks, TCP, C++, C, IGMP, L2, L3, Thread Rtos, IP, BGP, VLAN, MPLS, EIGRP... ",  Not disclosed  ,  M. Sathwika  ," Posted  by     M. Sathwika    , Today ",Today,8,12,28
